Response Timestamp,Participant ID,What class are you completing this survey for?,,,,,,,,,,,,,"If you are taking a lab, you may have to fill this out for multiple courses--which may be confusing. To be sure that you selected the course you intended to select above, what is your instructor's last name for the above selected course?",I understand the study strategies needed to perform well in college-level science classes.,,,,,I can explain Chemistry concepts in my own words.,,,,,I am comfortable asking questions in lecture or discussion sections.,,,,,I know where to find academic help if I need it,,,,,I believe my current study habits will help me perform well in this class.,,,,,I am confident in applying mathematical skills to Chemistry problems.,,,,,I can manage my time effectively when studying for Chemistry exams.,,,,,I was prepared to handle the workload and expectations of this course.,,,,,I expect to earn at least a C in this class (C or better).,,,,,Did you attend the Chemistry peer learning in room MS3974 ?,,In reference to the above question regarding attending Chemistry peer learning: Why or why not?
,,Chemistry 14A,Chemistry 14AE,Chemistry 14B,Chemistry 14BL,Chemistry 14C,Chemistry 14CL,Chemistry 14D,Chemistry 20A,Chemistry 30A,Chemistry 30AL,Chemistry 30B,Chemistry 30BL,Chemistry 30CL,,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Strongly Agree,Slightly Agree,Neutral,Slightly Disagree,Strongly Disagree,Yes,No,
2025-11-24 16:42:06 -0800,10303615782,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Did not have time
2025-11-24 16:44:23 -0800,6908029900,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,was not aware of it
2025-11-24 17:05:05 -0800,3507730836,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Did not know it was an option .
2025-11-24 17:31:17 -0800,10307935176,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Didn't know it was a thing
2025-11-24 20:26:37 -0800,5209192870,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,I didn't know about this actually. I was more focused on attending announced office hours because they were helpful (professor).
2025-11-24 22:21:09 -0800,1808603769,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"I didn't know peer learning was being offered in room MC3974. However, I did attend AAP Peer Learning sessions in Campbell Hall."
2025-11-24 23:22:31 -0800,8606292789,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,Schedule conflicts
2025-11-24 23:50:35 -0800,1809167557,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Never heard of
2025-11-24 23:51:09 -0800,1809167557,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Never heard
2025-11-25 08:52:05 -0800,13708472257,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,No time
2025-11-25 09:44:35 -0800,6908486724,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I did not attend the Chemistry peer learning located in room MS3974 because I did not feel that it was necessary for my understanding of the chemistry concepts in Chemistry 14B.
2025-11-25 12:15:36 -0800,1808293434,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I wasn't aware that it existed.
2025-11-25 15:41:40 -0800,12008278899,0,0,1,0,0,0,0,0,0,0,0,0,0,SCERRI,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,I didn't know that was a thing.
2025-11-25 20:45:48 -0800,6904191793,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I didn't have time and didn't know that was a thing.
2025-11-26 12:44:50 -0800,1809089425,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I didn't know there was Chemistry Peer learning
2025-11-27 10:59:37 -0800,15410006269,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I didn't know about them.
2025-11-28 00:25:54 -0800,5207886233,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I did not know about this
2025-11-29 21:41:04 -0800,13708392442,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,i didn't know
2025-11-29 21:43:12 -0800,1809429884,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,I haven’t found time to attend.
2025-11-29 21:50:27 -0800,13710509010,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Not sure what that is.
2025-11-29 22:06:09 -0800,13707643915,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Not aware
2025-11-30 10:23:42 -0800,8609579314,0,0,1,0,0,0,0,0,0,0,0,0,0,Scerri,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I dont have time
2025-11-30 14:22:28 -0800,8609557027,0,0,0,0,1,0,0,0,0,0,0,0,0,Riu,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,This professor's answers are always much more helpful and he is more accessible.
2025-12-01 07:04:15 -0800,5209422965,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I did not know it existed
2025-12-01 07:04:51 -0800,12009208068,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,I'm not sure what this event was or what it is about.
2025-12-01 07:19:04 -0800,109872190,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,did not know or forgot it existed
2025-12-01 07:42:41 -0800,1808836006,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,didnt know it existed
2025-12-01 07:44:02 -0800,10310871926,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I was not aware of it.
2025-12-01 07:44:23 -0800,3504723145,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,I did not know this existed.
2025-12-01 07:47:50 -0800,10308545935,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I didn't have time and also found myself not needing to attend.
2025-12-01 07:48:56 -0800,5206220063,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I didn’t know this existed. I did attend office hours though.
2025-12-01 07:49:51 -0800,6908465559,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I didn't know
2025-12-01 07:51:23 -0800,108280072,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Could not make it
2025-12-01 07:52:10 -0800,10307898558,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I didn’t feel like I needed to
2025-12-01 07:52:13 -0800,8601333005,0,0,0,0,0,0,1,0,0,0,0,0,0,Prof Ow,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,I didn’t know that existed.
2025-12-01 07:53:41 -0800,13709139881,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,I didn’t know about it
2025-12-01 07:53:54 -0800,8603901416,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I did not know this was a thing
2025-12-01 07:57:31 -0800,10308626498,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Don’t  know about it
2025-12-01 07:58:56 -0800,10304504899,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Did not know that was a thing
2025-12-01 07:59:28 -0800,10308747334,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"Extremely busy, unpredictable schedule that made it hard to find time to do it."
2025-12-01 08:01:12 -0800,8603899410,0,0,0,0,0,0,1,0,0,0,0,0,0,Franklin Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I did not know this was an option
2025-12-01 08:01:14 -0800,12009116625,0,0,0,0,0,0,1,0,0,0,0,0,0,Franklin Ow,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,I didn't know about it
2025-12-01 08:01:47 -0800,15406573034,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I didn't know peer learning existed for my course until just now.
2025-12-01 08:02:31 -0800,5204210782,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Always had a schedule clash
2025-12-01 08:04:16 -0800,10309580113,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"I decided to just study on my own, and I didn't have the time."
2025-12-01 08:08:35 -0800,15408529717,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,I didn't know it existed
2025-12-01 08:09:18 -0800,12006341528,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"I had no idea that Chemistry peer learning room in MS3974 was a resource available. If I had known, I would've taken greater advantage of this resource."
2025-12-01 08:10:02 -0800,13708093276,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I have a busy schedule this quarter so I did not have time to utilize all synchronous resources.
2025-12-01 08:11:40 -0800,8607876356,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,I didn't know there was peer learning.
2025-12-01 08:12:13 -0800,8609514068,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Didn’t know about it and probably wouldn’t feel the need to.
2025-12-01 08:15:37 -0800,3513998260,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,I have a part time job and a commuter so it didnt match my schedule.
2025-12-01 08:15:42 -0800,1810218157,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,Didn't know it existed
2025-12-01 08:22:05 -0800,1809607007,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,I did not know anything about it.
2025-12-01 08:35:55 -0800,108486027,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,My free times did not align with the Peer Learning.
2025-12-01 08:36:03 -0800,3504940660,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I was not familiar with this opportunity but also attend OH often (and didn't feel it necessary to seek extra help)
2025-12-01 08:37:41 -0800,15410411328,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Didn't have time
2025-12-01 08:49:29 -0800,8608113489,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I did not know it existed.
2025-12-01 08:51:42 -0800,110002325,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,I did not know about the Chemistry peer learning.
2025-12-01 08:58:18 -0800,15409188501,0,0,0,0,0,0,0,0,0,0,1,0,0,N/A,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I went to my TAs office hours and studied with friends instead
2025-12-01 09:00:38 -0800,109194417,0,0,0,0,0,0,0,0,0,0,1,0,0,Pham,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I did not know it existed
2025-12-01 09:08:30 -0800,8609601278,0,0,0,0,0,0,1,0,0,0,0,0,0,Dr. Franklin Ow,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"I did not know about them, but also I prefer studying and doing it by myself."
2025-12-01 09:10:06 -0800,8609601278,0,0,0,0,0,0,1,0,0,0,0,0,0,Dr. Franklin Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,I sometimes don't believe they're very helpful.
2025-12-01 09:12:09 -0800,13709248630,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,I didn't know about it.
2025-12-01 09:12:48 -0800,5205807728,0,0,0,0,0,0,1,0,0,0,0,0,0,Franklin Ow,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,I was unaware of this resource
2025-12-01 09:13:36 -0800,1806154528,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,I did not know of the peer learning.
2025-12-01 09:15:23 -0800,6908610637,0,0,0,0,0,0,1,0,0,0,0,0,0,Ow,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,I didn’t know they existed
