,why_peer_learning,count,tags
146,Did not know that was a thing,1,did_not_knew
147,"Extremely busy, unpredictable schedule that made it hard to find time to do it.",1,commuter_issues+busy_schedule
148,I didn't know peer learning existed for my course until just now.,1,first_hearing
149,Always had a schedule clash,1,schedule_conflict
150,"I decided to just study on my own, and I didn't have the time.",1,prefer_self_study+no_time
151,"I had no idea that Chemistry peer learning room in MS3974 was a resource available. If I had known, I would've taken greater advantage of this resource.",1,did_not_knew
152,I have a busy schedule this quarter so I did not have time to utilize all synchronous resources.,1,busy_schedule+no_time
153,Didn’t know about it and probably wouldn’t feel the need to.,1,did_not_knew+did_not_need
154,I have a part time job and a commuter so it didnt match my schedule.,1,other_commitments+commuter_issues+schedule_conflict
155,I did not know anything about it.,1,did_not_knew
156,My free times did not align with the Peer Learning.,1,schedule_conflict
157,I was not familiar with this opportunity but also attend OH often (and didn't feel it necessary to seek extra help),1,unaware_of_resource+used_office_hours+did_not_need
158,I went to my TAs office hours and studied with friends instead,1,used_office_hours+used_study_groups
159,"I did not know about them, but also I prefer studying and doing it by myself.",1,did_not_knew+prefer_self_study
160,I sometimes don't believe they're very helpful.,1,not_helpful
161,I was unaware of this resource,1,unaware_of_resource
162,I did not know of the peer learning.,1,did_not_knew
163,I didn’t know they existed,1,did_not_knew
164,Didn’t feel it was necessary,1,did_not_need
165,I don't generally like peer learning groups.,1,dislike_peer_learning
166,I don't like peer learning groups.,1,dislike_peer_learning
167,I was not aware of the event,1,unaware_of_resource
168,I don't remember getting notified about it! That definitely could have been my own error.,1,communication_issues+forgot
169,I dont have time.,1,no_time
170,"I mostly understood the concepts that were taught in class and things I was unsure about, I was able to easily understand through reading the textbook or watching a video.",1,already_understanding+used_online_resources
171,Did not know about this resource.,1,did_not_knew
172,Busy quarter,1,busy_schedule
173,I did not know it even existed. Never head any mention of it.,1,did_not_knew+communication_issues
174,social anxiety,1,social_anxiety
175,I typically don’t find peer learning helpful,1,not_helpful
176,I attended plf sessions,1,attended_other_format
177,I did not know about the peer learning sessions,1,did_not_knew
178,Didn’t leave enough time in my course/extracurricular load to go to them.,1,no_time+other_commitments
179,"I didn't think I needed to, as I grasped the material after absorbing all the given material and doing all the given practice problems.",1,did_not_need+already_understanding
180,I did not know there was chemistry peer learning.,1,did_not_knew
181,I didn't know it was a resource available to me,1,did_not_knew
182,"I remember receiving as email about it at the beginning of year eyar but then forgot about it. Also, I had a busy schedule this quarter so was unable to attend",1,forgot+busy_schedule
183,I did not know that this was a resource. I also already attend several TA office hours and have access to enough help.,1,did_not_knew+used_office_hours+did_not_need
184,I was not aware that there was a chemistry peer learning location. I would have attend had I known.,1,unaware_of_resource
185,i didn’t know that was happening,1,did_not_knew
186,Scheduling/time,1,schedule_conflict
187,I did not know this was avaliable.,1,did_not_knew
188,Didn’t fit into my schedule.,1,schedule_conflict
189,I have other resources that I rely on.,1,used_professor_sessions
190,Was not aware,1,unaware_of_resource
191,I did not know it was available. Also I prefer to study on my own or in small study groups with my friends,1,did_not_knew+prefer_self_study+used_study_groups
192,Didn't feel that it was the best way to learn.,1,not_helpful
193,didn't know what it was,1,did_not_knew
194,didn’t know it happened tbh,1,did_not_knew
195,I was not aware of this resource,1,unaware_of_resource
196,Was not aware of session,1,unaware_of_resource
197,Did not know about it and unsure what format it would be/if it would help me,1,did_not_knew+format_uncertainty
198,I was not aware of the event.,1,unaware_of_resource
199,Didn't know it was a thing.,1,did_not_knew
200,I don't feel I need to.,1,did_not_need
201,i didnt know it existed,1,did_not_knew
202,I am unsure when the peer learning takes place.,1,format_uncertainty
203,I didn't know this room existed,1,did_not_knew
204,I did not know it was being offered.,1,did_not_knew
205,I was unaware of peer learning services in MS3974.,1,unaware_of_resource
206,I did not know about this opportunity.,1,did_not_knew
207,I was too busy,1,busy_schedule
208,I didn't know there was a chemistry peer learning group.,1,did_not_knew
209,I didn't know what that was.,1,did_not_knew
210,"I didn’t know where the Chemistry peer learning room was, and I didn’t have time to attend.",1,did_not_knew+location_issues+no_time
211,I didn't even know it was an option!,1,did_not_knew
212,I didnt know it was an option,1,did_not_knew
213,I prefer going to office hours and was able to get all my questions answered there.,1,used_office_hours+ta_better
214,Didn't need to; felt comfortable with reviewing the lecture materials and practice problems on my own.,1,did_not_need+already_understanding+prefer_self_study
215,I did not feel the need to attend peer learning. The lecture and the discussion were sufficient for building understanding for me.,1,did_not_need+already_understanding
216,I did not know of this event.,1,did_not_knew
217,I didn't know that existed.,1,did_not_knew
218,"I attend office hours and tutoring, but not the chemistry peer learning. I have never heard of that.",1,used_office_hours+used_other_tutoring+did_not_knew
219,I did not attend the chemistry peer learning because I already felt confident in the course material.,1,already_understanding
220,I dont find it an effective use of my time. I think work better alone/doing problems myself.,1,not_helpful+prefer_self_study
221,I was not aware of this peer learning room.,1,unaware_of_resource
222,did not know there was a peer learning.,1,did_not_knew
223,I didn't know that there was a chemistry peer learning room.,1,did_not_knew
224,"I am taking 20 units + work 20-30 hours a week, I generally don't have much time for peer learning/non-mandatory class sessions.",1,busy_schedule+other_commitments+no_time
225,Didn't know about it and didn't think it would be very helpful.,1,did_not_knew+not_helpful
226,"I did not feel I needed the extra review, I think I did better studying on my own.",1,did_not_need+prefer_self_study
227,"I felt the need to seek out extra resources outside of class lecture, discussion, and office hours.",1,attended_this
228,I do not know what that is :(,1,did_not_knew
229,I didn't have time to attend,1,no_time
230,I did not know it even existed,1,did_not_knew
231,I went to TA office hours and found them sufficiently helpful,1,used_office_hours
232,I did not feel like I needed it for this class,1,did_not_need
233,I was not aware of this.,1,unaware_of_resource
234,I never bothered to look out for any such program.,1,other
235,I did because I was struggling with concepts and I also wanted to double check my work at times.,1,attended_this
236,Hi,1,no_response
237,I didn’t even know that was a thing,1,did_not_knew
238,I didn't feel the need,1,did_not_need
239,I was not aware of the peer learning sessions.,1,unaware_of_resource
240,Peer learning sessions often conflict with my schedule + I usually am more efficient when studying on my own.,1,schedule_conflict+prefer_self_study
241,"I wasn't aware of peer learning, but I have been going to the Organic Chemistry Tutoring club",1,unaware_of_resource+used_other_tutoring
242,I did not feel it was necessary,1,did_not_need
243,"I did not know that that was a thing. However, even with that knowledge, I don't think I would have attended because I feel fairly confident in the course material.",1,did_not_knew+already_understanding
244,The peer learning sessions were not held at times that were convenient for me,1,schedule_conflict
245,Was not aware of this service,1,unaware_of_resource
246,I did not know it was available,1,did_not_knew
247,Was not aware of this resource,1,unaware_of_resource
248,I did not attend.,1,no_response
249,I didnt have time in my schedule.,1,schedule_conflict
250,I was not aware of a Chemistry peer learning/did not have the time,1,unaware_of_resource+no_time
251,I did not have enough time,1,no_time
252,I work as a tutor there,1,attended_this
253,Did not have time.,1,no_time
254,I did not know there was a Chemistry peer learning.,1,did_not_knew
255,i prefer to use office hours with TA's,1,used_office_hours
256,I did not attend because I did not have time,1,no_time
257,I didn’t have time.,1,no_time
258,"I attended TA office hours and directed my questions during those sessions. Additionally, I prefer to study alone rather than with a large group since I tend to get distracted during group study sessions.",1,used_office_hours+group_distraction
259,I already had a study group I like to study with,1,used_study_groups
260,Never knew this existed,1,did_not_knew
261,I didn't even know there was a peer learning for this class.,1,did_not_knew
262,The times conflicted with my other activities/classes,1,schedule_conflict
263,I didn't know of it,1,did_not_knew
264,"Did not need, just worked with friends and such",1,did_not_need+used_study_groups
265,I was not familiar with it.,1,unaware_of_resource
266,didn't go,1,no_response
267,My schedule was too busy this quarter and I chose TA OH instead,1,busy_schedule+used_office_hours
268,"I have not been informed, or have not been informed enough about the peer learning sessions!",1,communication_issues
269,I did not know there was peer learning for this course.,1,did_not_knew
270,"I was not aware of this resource, but also I did not need too much additional help with this course.",1,unaware_of_resource+did_not_need
271,I was not aware of its existence.,1,unaware_of_resource
272,I didn't know it existed!,1,did_not_knew
273,Wasn't sure how to get there,1,location_issues
274,I didn't know it existed.,1,did_not_knew
275,I was not informed enough about the above opportunity.,1,communication_issues
276,I was not aware of the peer learning.,1,unaware_of_resource
277,I did not know about the peer learning room.,1,did_not_knew
278,I did not even know it was happening.,1,did_not_knew
279,Never had the time,1,no_time
280,I was unaware that this peer learning meeting was being offered,1,unaware_of_resource
281,My schedule did not allow me to come.,1,schedule_conflict
282,My schedule did now allow me to participate.,1,schedule_conflict
283,I had reached out at the beginning of the quarter to ask how to access the peer learning but received no response.,1,communication_issues+signup_issues
284,I thought that it was only for people in the PEERS program.,1,eligibility_confusion
285,I attended Office hours instead,1,used_office_hours
286,No; I didn't know it existed.,1,did_not_knew
287,I don't know what that is and have never heard of it before,1,did_not_knew
288,I dont think I heard about this workshop.,1,did_not_knew
289,It did not fit in my schedule,1,schedule_conflict
290,The professor never mentioned it in class,1,communication_issues
291,did not know about that,1,did_not_knew
292,"I didn't feel like I needed it. I studied a lot through the textbook and practice questions, so I felt I was adequately prepared already.",1,did_not_need+already_understanding+used_online_resources
293,Unhelpful,1,not_helpful
294,I didn't have enough time with my schedule.,1,no_time+schedule_conflict
295,I didn't know there was Chemistry peer learning,1,did_not_knew
296,Don't feel like I need it,1,did_not_need
297,The times have conflicted with other academic commitments.,1,schedule_conflict
298,Prior conflicting academic committments.,1,schedule_conflict
299,"I had a time conflict with another commitment, so I could not attend this time around.",1,schedule_conflict
300,"I didn't know it existed, and I wouldn't have had the time to go that far anyway.",1,did_not_knew+no_time+location_issues
301,Did not know it was hosted.,1,did_not_knew
302,didn't know and didn't need help,1,did_not_knew+did_not_need
303,Had enough resources without it.,1,did_not_need+used_professor_sessions
304,Dont know the times,1,format_uncertainty
305,I did not know that was a thing!,1,did_not_knew
306,I thought the tutoring would be helpful for the exams.,1,attended_this
307,I was having other issues that prevented my attendance.,1,personal_issues
308,I didn't feel the need and I didn't have the time.,1,did_not_need+no_time
309,I DiD not know this was even a thing,1,did_not_knew
310,didnt know about it,1,did_not_knew
311,grr,1,no_response
312,not interested,1,other
313,I was not able to attend the sessions due to my schedule.,1,schedule_conflict
314,i dont know what that is,1,did_not_knew
315,I was not aware that there was chemistry peer learning in MS3974.,1,unaware_of_resource
316,"Scheduling issues, I chose to study with my friends",1,schedule_conflict+used_study_groups
317,I did not know that this was available.,1,did_not_knew
318,I did not go because I was already keeping up with the material on my own and did not feel like I needed extra help.,1,did_not_need+prefer_self_study
319,I was not able to be there,1,schedule_conflict
320,I don't know what this is,1,did_not_knew
321,Didn't realize that was an option.,1,did_not_knew
322,I did not attend this specific peer learning. I did however attend the facilitated peer learning offered through AAP in Campbell Hall.,1,attended_other_location
323,I did not know that this was an option / available resource,1,did_not_knew
324,I find self-study to be more time efficient.,1,prefer_self_study+ta_better
325,"I was unaware of it, because I was not looking for help.",1,unaware_of_resource+did_not_need
326,I was unaware of these sessions.,1,unaware_of_resource
327,I did not know this resource was available.,1,did_not_knew
328,I thought peer learning was only for people in AAP,1,eligibility_confusion
329,i didn't struggle a lot with the material/practice problems we were provided,1,already_understanding
330,Couldn't find a time in my schedule,1,schedule_conflict
331,Not needed.,1,did_not_need
332,I just did not have time to attend.,1,no_time
333,I have not heard of the Chemistry peer learning in room MS3974,1,did_not_knew
334,I felt that studying on my own was more worth my time since it's a lot of memorization.,1,prefer_self_study
335,My current performance in the class was adequate enough to not warrant me to seek extra help.,1,doing_well
336,I was not aware that peer learning was being offered.,1,unaware_of_resource
337,i did not know that was a thing,1,did_not_knew
338,I didn’t know what it was,1,did_not_knew
339,I just never fund the time to go.,1,no_time
340,I just never found the time to go.,1,no_time
341,I did not attend because I did not know it was available to us.,1,did_not_knew
342,did not know it was an available resource,1,did_not_knew
343,I didn't have time to do it,1,no_time
344,I had class conflicts,1,schedule_conflict
345,I didn't feel a need to.,1,did_not_need
346,I did not know about it and feel like I don't need to.,1,did_not_knew+did_not_need
347,"I did not know about it, but also feel like I don't need it.",1,did_not_knew+did_not_need
348,I was unaware there was Chemistry peeer learning in room MS 3974.,1,unaware_of_resource
349,I like to receive extra help in guiding my stidying sometimes I miss a concept or didn't grasp it entirely and with peer learning I know we go over everything in lecture and they provide extra practice problems as well so more study material!,1,found_helpful
350,"I think I just happened to make plans with a study group at the time, so I chose the group over the peer learning environment.",1,used_study_groups
351,Sessions were held at times that I was not available.,1,schedule_conflict
352,I did not feel the need for it this quarter.,1,did_not_need
353,I did not feel the need for it.,1,did_not_need
354,I attended PLF sessions for this class 2 times a week instead.,1,attended_other_format
355,I attended PLF sessions for this course 2 times a week instead.,1,attended_other_format
356,It was outside of my usual availability.,1,schedule_conflict
357,My other class has time conflict with it,1,schedule_conflict
358,My other classes have time conflict with it,1,schedule_conflict
359,I never had the time in my daily schedule.,1,no_time
360,Peer learning did not fit into my schedule,1,schedule_conflict
361,"Do not know what it is, nor did I know it existed.",1,did_not_knew
362,"I was unaware of it, but also uninterested.",1,unaware_of_resource+other
363,time didn't work with my schedule,1,schedule_conflict
364,I forgot about it,1,forgot
365,I didnt have time,1,no_time
366,I had a time conflict,1,schedule_conflict
367,To better my understanding on the topics thought in the course,1,attended_this
368,I attended the peer learning room because even if I am confident in the class I always find it helpful to get extra support and more practice so that I can do better on the homework/tests.,1,found_helpful
369,I didn't know that was an option,1,did_not_knew
370,"I forgot to put the dates on my calendar, and my schedule got very hectic so I missed it.",1,forgot+busy_schedule
371,"I didn't put the date into my calendar and due to my schedule, I forgot about it and missed it.",1,forgot+busy_schedule
372,I attended different learning resources,1,used_professor_sessions
373,"I did not know about it, but even if I had, I don't think I would have attended since I don't need the extra help.",1,did_not_knew+did_not_need
374,I did not wish to attend.,1,other
375,Attended TA office hours as the maine ay to seek help.,1,used_office_hours
376,"I was not aware of it, only the online Ochem tutoring which I tried.",1,unaware_of_resource+used_other_tutoring
377,Time interference,1,schedule_conflict
378,I don't have the time to.,1,no_time
379,"I didn't know there was a peer learning session. But also, I went to professor office hours and TA hours when I had questions on the homework or on exams.",1,did_not_knew+used_office_hours
380,"I didn't know about it, but even if I did, I probably wouldn't have attended anyway because I don't have the time.",1,did_not_knew+no_time
381,didn't know about or need it,1,did_not_knew+did_not_need
382,I didn’t know it exists.,1,did_not_knew
383,I wasn’t aware.,1,unaware_of_resource
384,I wanted to but it got full after first enrollment.,1,signup_issues
385,Attended labs which were well ran by the TA,1,used_office_hours
386,To get extra help/make sure i was doing the homework correctly,1,attended_this
387,It did not fit into my schedule.,1,schedule_conflict
388,"It never really crossed my mind, I probably should have",1,too_lazy
389,I don't have time and I am most efficiently studying when I am in my own space,1,no_time+prefer_self_study
390,I didn't know it was occuring.,1,did_not_knew
391,I did not attend because I did not know peer learning was a thing. I only knew of TA office hours for extra help.,1,did_not_knew+used_office_hours
392,i dont have much time to attend,1,no_time
393,I felt no need to.,1,did_not_need
394,No time. Needed to go to work and do other extracurrilars.,1,no_time+other_commitments
395,I was not aware of them,1,unaware_of_resource
396,I didn't think that I needed it,1,did_not_need
397,I did not remember that it was happening.,1,forgot
398,I didn't know this was available????,1,did_not_knew
399,I was very preoccupied with many courses this quarter Andy plate was to full,1,busy_schedule
400,I was not able to join because of schedule conflicts.,1,schedule_conflict
401,Thanks you! It was great,1,found_helpful
402,I had not been aware that there had been peer learning Chemistry available for my specific course. I have however attended AAP classes for chemistry.,1,unaware_of_resource+attended_other_location
403,I was not aware that there was peer learning available for my course in that room. I have however attended PLF lessons through AAP.,1,unaware_of_resource+attended_other_format
404,I like peer learning,1,found_helpful
405,I needed extra support as a transfer student that last took organic chemistry more a year ago.,1,attended_this
406,For help with midterm and final concept review.,1,attended_this
407,didn’t know about this,1,did_not_knew
408,It is hard to find time to go to one. I also have not heard of them much,1,no_time+did_not_knew
409,I wasn't aware it was an available,1,unaware_of_resource
410,Not aware of it but also wasn't really looking for help.,1,unaware_of_resource+did_not_need
411,I did not know the chemistry peer learning was available.,1,did_not_knew
412,"I wasn't sure about the format of the peer learning sessions, and I also did not find the time to go to them.",1,format_uncertainty+no_time
413,Tutors were so friendly and helpful :),1,found_helpful
414,Could not make the time,1,schedule_conflict
415,I've never heard of that before.,1,did_not_knew
416,idk what that is,1,did_not_knew
417,Unavailable space to join.,1,signup_issues
418,Chemistry peer learning sessions did not fit in well with my schedule.,1,schedule_conflict
419,hard to find,1,location_issues
420,I did not have the time to go to peer learning.,1,no_time
421,N/A I have plf for chem 14D in Campbell hall,1,attended_other_format
422,The timing didn’t fit my schedule,1,schedule_conflict
423,I don’t know what this is,1,did_not_knew
424,Didn't fit in schedule,1,schedule_conflict
425,I attended to broaden some of my chem 14B content due to not taking it for a while.,1,attended_this
426,Did not have time with my other courses,1,no_time+schedule_conflict
427,I was unable to with my schedule,1,schedule_conflict
428,I didn’t know about this resource,1,did_not_knew
429,"I did not know it existed. When I needed help, I just went to office hours and it worked for me.",1,did_not_knew+used_office_hours
430,I was not aware of this opportunity.,1,unaware_of_resource
431,I had other commitments hat conflicted,1,other_commitments+schedule_conflict
432,I didnt know,1,did_not_knew
433,It did not fit my schedule because of work and other commitments,1,schedule_conflict+other_commitments
434,wasn't aware of it,1,unaware_of_resource
435,I felt like I did not need additional support,1,did_not_need
436,I felt like I did not need additional support.,1,did_not_need
437,"Don't have time, I work to support myself and my family, as well as have an internship. I am also heavily involved in my faith so I'm never on campus when peer learning is happening. I went once on a random day off but I wish I had gone more it was very helpful.",1,no_time+other_commitments+commuter_issues+found_helpful
438,I didn’t know it existed/I never felt the need to seek outside help,1,did_not_knew+did_not_need
439,I wasn't really aware it existed.,1,unaware_of_resource
440,Didn’t feel like I need,1,did_not_need
441,"Didn't have time. I would either have schedule conflicts or had to focus on other class homework, so I could not attend the peer learning sessions.",1,no_time+schedule_conflict+other_commitments
442,I don’t study well in groups.,1,group_distraction
443,Scheduling issues,1,schedule_conflict
444,I did not see the need to; I have my own sources for studying and study with friends. I attend discussion every week and seek help at TA office hours as well.,1,did_not_need+used_study_groups+used_office_hours
445,i don't know what that is,1,did_not_knew
446,I found the most help at office hours with Dr. Henary or my TA. I did not feel the need to seek extra help from peer learning. I have many friends to also ask for help.,1,used_office_hours+did_not_need+used_study_groups
447,Couldn't fit into the schedule/didn't know about it at first,1,schedule_conflict+did_not_knew
448,I wasn't completely aware of the time / location of the peer learning?,1,format_uncertainty+unaware_of_resource
449,Didn’t have time,1,no_time
450,I didn’t know we had one,1,did_not_knew
451,I did not believe I needed to to earn an A in this class.,1,did_not_need
452,I didn't know about this program.,1,did_not_knew
453,I hadn't heard of it and I don't know what that is.,1,did_not_knew
454,Haven't had the need,1,did_not_need
455,I don’t like working with groups.,1,dislike_peer_learning
456,I did not know this was available.,1,did_not_knew
457,I did not need it,1,did_not_need
458,I didnt know there was one...,1,did_not_knew
459,I prefer studying on my own and attended the UA sessions provided by Lavelle.,1,prefer_self_study+attended_other_format
460,Did not know they were happening,1,did_not_knew
461,"I could not make it, due to time conflic and commute travel.",1,schedule_conflict+commuter_issues
462,I attended UA workshops instead,1,attended_other_format
463,Office hours was really helpful,1,used_office_hours
464,I attended Step ups and workshops.,1,attended_other_format
465,"I did not feel the need to attend the peer learning, and I also found myself doing fairly well while studying on my own.",1,did_not_need+doing_well+prefer_self_study
466,I went to other review sessions more focused on what I needed to work on most.,1,attended_other_format
467,Didn't know about this opportunity,1,did_not_knew
468,"I didn't have time to attend it. However, my friends and I did our own chemistry peer learning before the exams to clear up any questions.",1,no_time+used_study_groups
469,I don't know what is that. I attended discussion sections and review exams for midterms.,1,did_not_knew+used_professor_sessions
470,No. no one said anything regarding this sessions.,1,communication_issues
471,didn’t know about it,1,did_not_knew
472,I wanted extra practice for the midterm.,1,attended_this
473,I just don’t feel the need to,1,did_not_need
474,i just don’t need to,1,did_not_need
475,I didn't feel a need to attend because I already had an established study group with people that I met in my lecture.,1,did_not_need+used_study_groups
476,I didn't know this resource,1,did_not_knew
477,What even is that?,1,did_not_knew
478,went to step up sessions instead,1,attended_other_format
479,I did not have time,1,no_time
480,I did not need to,1,did_not_need
481,Found self-studying more effective.,1,prefer_self_study+ta_better
482,I didnt have time.,1,no_time
483,it was helpful!,1,found_helpful
484,I was not entirely aware of it.,1,unaware_of_resource
485,I did not attend because I had other commitments like studying or doing homework for other classes.,1,other_commitments+schedule_conflict
486,I am not aware of what the Chemistry peer learning is,1,unaware_of_resource
487,Didn't need the extra help,1,did_not_need
488,"was not aware of it, and could not attend as well",1,unaware_of_resource+no_time
489,I have never felt the need.,1,did_not_need
490,I was not very aware of the peer learning,1,unaware_of_resource
491,"I attended the step-up and workshops organized by Dr. Lavelle every week, which has helped me with my learning.",1,attended_other_format
492,I attended workshop and step-up sessions that Dr. Lavelle had organized.,1,attended_other_format
493,Did not know we were able to attend.,1,did_not_knew
494,"I really didn't know that chemistry peer learning was being offered, I mostly stuck to the additional help sessions that my professor had arranged for us.",1,did_not_knew+used_professor_sessions
495,I didn't feel the need to go.,1,did_not_need
496,I did not find time in my schedule.,1,schedule_conflict
497,I did not attend because I did not feel the need to receive external help with chemistry as I believed I could do it myself.,1,did_not_need+prefer_self_study
498,"This quarter, I really struggled with my mental health, burnout from my summer job, and balancing living in an apartment for the first time; I found myself struggling to balance school, apartment life, and relaxing. Also I felt that I understood the course material enough where I didn't have to go.",1,personal_issues+busy_schedule+already_understanding
499,I didn't attend because I have no idea what that is.,1,did_not_knew
500,I'm having a hard time working through my schedule.,1,schedule_conflict
501,I thought it would be best to make the most of the opportunities given,1,attended_this
502,"I was unaware of the times and location. of this program, I may have missed the details if they were given in class or present on BruinLearn.",1,format_uncertainty+communication_issues
