when_connected,count
"I feel most connected whenever I attend a discussion, office hours, or do homework with someone I already know since it's easy for me to talk about ideas and ask questions with them and others. If I don't know someone when attending these things, I don't participate as much so I feel more disconnected.",1
"I feel most connected when its not only me struggling to understand a difficult concept but also my peers. Also, when we are all working on understanding a mechanism.",1
"I feel most connected in Office Hours or peer learning environments, and most disconnected in lecture just because there are so many people.",1
"I feel most connected in smaller discussion, office hours, and working 1 on 1 with TAs or friends. I feel more disconnected in larger lectures where I am only processing in my head.",1
I feel most connected when time is spent on problems that the class obviously struggled with. I feel disconnected when lectures are went through really fast without making sure everyone understands.,1
"I strongly dislike online discussions. I normally meet study partners in class and now I can't. Additionally, the TAs don't always know how to hold an online discussion effectively. The whiteboard option is awesome, but only if used efficiently and the TAs can be quite slow with technology. Much of the class isn't even spent completing problems.",1
i always feel connected because we are brothers in arms,1
Most connected when working with my peers. Most disconnected when I'm unable to attend lecture.,1
I feel most disconnected in the Chemistry learning space when learning more calculation based topics and connected when the topic overlaps between Chemistry and Biology.,1
I feel connected when working on PSets with my classmates.,1
I feel connected when I'm trauma learning for exams :DDDDD,1
I feel most connected when I’m with people I know in chemistry classes,1
I feel most connected when we are answering problems in an active and engaging way (like Office Hours or in person discussions).,1
"I feel most connected in Chemistry learning spaces when I am able to collaborate in small groups or with someone who is already knowledgable about chemistry, learning and diving deeper into the material as we communicate with each other.",1
I feel most connected in Chemistry learning spaces when I'm with my friends and we can both agree upon things that we don't understand and then work on them other and teach each other afterwards. It makes chemistry feel more relatable and a collaborative space.,1
When I have a group of people to study with. I would not mind having a pod group just for studying together. The online zoom group discussions are not good.,1
"I wish there was a renewal of knowledge in the Discussion sections, instead of just jumping into a problem set",1
"When we gloss over the basic chemistry principles in class, I feel a bit disconnected. I do not think a full review is necessary, but to throw in a formula without explaining the value behind it feels disconcerting. I feel connected, however, when my community has an ""a-ha"" moment all together.",1
With TAs that don’t know what’s going on in lecture,1
I feel most connected when working in groups where we help each other by asking and answering eachothers questions.,1
I feel most connected during in-person learning/discussion settings. I feel disconnected in the online discussions for this course. It makes it hard to ask questions.,1
"I feel most ""connected"" when working alongside other students.",1
I feel the most connected to chemistry in lectures and discussion sections. I feel disconnected from chemistry when the content gets overwhelming of the amount of work or studying we have to do becomes quit large in volume.,1
"I feel more disconnected during lecture, where it's easy to go in and out without ever talking to people. I feel most connected in discussion, albeit not as much so as previous quarters because the discussions are online now so some students will sit in the breakout room without saying anything.",1
"I am not a chemistry or biochemistry major, and so I feel out of place in the course, and that I don't possess a strong enough background in chemistry to succeed.",1
When I go to office hours,1
I feel most connected when professors take the time to ensure we understand the material and present it in a digestible way instead of reciting professional or technically correct verbage. I feel most disconnected when professors read directly off of slides with no additional input and fail to illustrate the application of the concepts.,1
I think with funding issues making discussions online made things feel more disconnected because in person ones were so much more interactive and helpful for my learning.,1
Most connected when I know what is going on and I can contribute my knowledge,1
I feel most connected learning with my friends as I am more comfortable to ask questionsl,1
"I feel more connected than last year, but I still feel a slight disconnect. Sometimes I feel that in the TA office hours, the sheer number of people who push to ask their questions makes it impossible for me to ask my own.",1
Connected,1
I feel most connected in discussions,1
I feel connected when I feel supported and understand the material,1
I feel super connected with Dr. Lavelle’s chemistry community forum. It is super helpful. I feel a little more disconnected in chemistry learning spaces during discussion sessions.,1
"I feel most connected in Chemistry Learning spaces when I work with other students for example: in person discussion sections, office hours, group study, lecture. I find with online discussion sections I feel disconnected with the people you are working with as well as the people you as for help from.",1
I feel definitely disconnected because the TA and professor go over the material so fast that it is hard to keep up or even try to participate. I’ve noticed that theres not really a point of trying to understand in lecture and just go to the Step-Up sessions since it’s more helpful than actual class and discussion.,1
l,1
I feel the most connected during discussion when im actually able to communicate with my peers and answer/ work through questions with them.,1
I feel disconnected when introduced to new material for the first time.,1
I feel the most connected when instructors acknowledge difficulty and relate to student struggles,1
most connected in discussion sections and chemistry community,1
I have no peers in this class,1
"I feel most ""connected"" in Chemistry learning spaces when I can ask questions without feeling like I am being judged.",1
I feel most connected when talking to others around me about iClickers..,1
Disconnected during lecture. Most connected during office hours and discussing with my friends.,1
"most connected when getting good grades, least when not",1
I feel most connected in Chemistry learning spaces when everyone else is learning at the same pace as me and I feel disconnected when everyone understands something that I do not.,1
connected: asking questions in office hours or listening to Dr. Ow's engaging lectures; disconnected: online discussions when group members avoid participating,1
"I don't like the zoom discussion sections. In my discussion section last year, I felt that was where I was able to collaborate and share my ideas. This is where I was corrected and learned how to approach problems the right way. The lack of in person time with TAs and LAs makes me feel disconnected.",1
I do not feel connected or disconnected in chemistry learning spaces.,1
I feel the most disconnected in lectures.,1
I feel connected when studying with peers,1
"I feel connected when a conversation is going. In discussion, I feel disconnected if I'm sitting there confused on a problem. This quarter the LAs are actually helping answer the questions and explain/discuss the mechanisms with me and I think my peers also are more open to work together or willing to answer questions.",1
Most connected when Im able to ask if my interpretation of a concept is correct.,1
During discussions usually.,1
"Connected in class and studying with friends, disconnected in online discussion sections",1
I feel most connected when I am helping out someone I met on the first day of lecture.,1
Professor Eric Wu always encourages us to ask questions and has created a supportive learning environment in Chem 20A.,1
I feel disconnected when people around me don't help me when I ask for help.,1
I feel connected when I'm studying with my friends but disconnected when I am in a setting with people who study very academically hard so it seems like I'm behind.,1
I feel most connected when I am able to ask questions during our discussion sections and talk to other members of the class while completing worksheets during section.,1
"I feel most connected when I have friends in the course. Classes where I know no one have always been my hardest. I also feel disconnected when professors jump straight into new concepts without actually teaching/explaining them first, which happens often. It leaves me feeling very confused and a little hopeless about the class.",1
"I feel connected to the people I'm sitting next to in class, but since the lecture is SO large I feel disconnected from the class as a whole. In that same respect, I know that my professor, although he is super caring and supportive, can't physical hear all of our contributions and know all of us.",1
If I know the content I feel most connected.,1
"I generally feel connected in class. Additionally, I have felt fairly connected during discussion, especially in breakout rooms when I am able to interact with a smaller group of people.",1
I feel most connected in Chemistry learning spaces when I get my questions answered and I'm able to confirm my understanding where there is gaps in my knowledge. I feel most disconnected when I am distracted by external things.,1
"I feel connected to people in this course. If i have questions I can message my classmates or go to the TA OHs. I think that there will be more connection with group projects, but even doing individual projects, fume hood partners help each other and other students.",1
"connected with my friend/study partner Logan, disconnected in discussion",1
"I feel mostly ""connected"".",1
I feel most connected when studying with my roommates who are also biology majors in this class.,1
"I don't have as many ""friends"" within my major, which sometimes makes me feel disconnected when I don't have someone really close to study with, but I manage that by interacting with others during office hours and discussions.",1
"Since discussion is online this quarter, I think this is where I feel the most ""disconnected.""",1
"I honestly struggle to understand the professor during his lectures (accent), which makes me feel disconnected, especially as I don't have close friends in the class to ask.",1
I feel most connected by interacting with the professor and other students.,1
"I feel most disconnected during lectures as it's hard to interact with the professor and with other students, I feel the most connected when doing work with my peers in person, such as outside study groups.",1
"I feel most ""connected"" in smaller groups since it makes it easier (at least for me) to feel comfortable speaking. I'm also still getting used to the size of lectures (many, many student), so I feel a bit more “disconnected” then.",1
When i am working in a group,1
Connected when its in person,1
I prefer learning on my own,1
I feel most disconnected when I do not understand the material presented in lecture.,1
"I feel most disconnected as a pre-med student who needs chemistry only for the MCAT. I find that all of the additional, non-MCAT related information makes me feel disconnected from this class and its purpose.",1
I feel most connected when I study the concepts prior to class.,1
I feel most disconnected when I am the only transfer student. I feel most connected when I have friends in the space I can collaborate.,1
"I feel most connected in peer learning Chemistry learning spaces. I feel most disconnected in lecture. This has nothing to do with Dr. Ow; the content is just a lot to swallow at once and I often feel ""lost in the sauce"".",1
I feel most connected in smaller in person groups such as group study sessions or office hours while virtual discussions and lectures feel disconnected to me,1
"Most connected in discussion, though not very much",1
"I feel most connected when I'm comfortable with the people around me, especially when I already know other students in lecture or discussion.",1
"I feel disconnected with the space because my lack of interest in chemistry overwhelms my performance in this course, and its difficult for me to understand concepts quicker. I tend to feel left behind by others because I don't pick up as fast as the course wants me to.",1
"I feel most connected during lecture, Eric Wu is an amazing professor.",1
Whenever I meet someone new in class!!,1
I feel connected when I study with my friends,1
I feel disconnected during lecture because it is hard to interact with others during the fast-paced lecture. I feel connected during Dr. Pham's office hours because he is very friendly and helpful. He truly cares about his student's learning and promotes understanding of the concepts.,1
When everyone has a similar level of understanding,1
"I feel most ""connected"" in Chemistry learning spaces at the UA step-up sessions.",1
I feel most connected in Chemistry learning spaces after lectures when all the students come together and discuss the topics learned in class as well as form meaningful friendships.,1
so connected during discussion!,1
I feel most disconnected when it comes to having someone to study with,1
"Since our discussions are online, I find it really hard to connect with classmates and ask questions. I am glad the professor and TAs are able to answer any questions; however, as chemistry can be a very complicated topic.",1
"I feel ""connected"" when we are forced to discuss questions with a partner. This often leads to some good study buddies being formed!",1
"I feel disconnected during discussion because it is online and I do not get to have an in person connection with my TA. However, I utilize office hours to the best of my abilities. I feel most connected during class and after class because I have many friends and study partners taking Chem14a that I can interact with during and after class.",1
"I feel most connected in office hours, somewhat in study groups, somewhat in lectures, and less in discussion.",1
"I feel most connected in smaller group settings, and disconnected in the massive lecture halls.",1
"Connected - discussions and office hours
Disconnected - lectures",1
I feel most disconnected when the professor explains something too fast and moves on before I can fully understand or conceptualize what he is saying. Then I feel lost.,1
"I feel connected when talking with my friends before lecture, but disconnected during the lecture since it moves pretty quick so there isn't time to talk over the concepts with the people around me.",1
Having Zoom discussion makes me feel very disconnected. Office hours are very helpful for connection though.,1
"Connected: TA's who understand the struggle of learning certain concepts 
Disconnected: N/A",1
I feel the most connected when I go to office hours. Seeing many students have similar questions as me and truly understanding that we're all experiencing this course together brings a sense of unity.,1
"I feel the. most disconnected in lectures because whenever he asks if people have questions, everyone just starts packing up and speaking over each other to their friends.",1
"I feel most disconnected when I am not understanding the material! 


I feel most connected when I am understanding and feel like I can contribute something.",1
I feel most connected in office hours when I feel like my struggle and confusion is understood and attempted to be solved.,1
with classmates i feel connected,1
I don't feel super connected in discussion or lecture so i have to watch them again after,1
I feel most connected in chemistry learning spaces when I have knowledge about what we are learning about and im confident in my chemistry skills.,1
Study groups outside of class (kind of hard to feel connected in a 300-person lecture hall),1
"I feel most ""disconnected"" when in lecture because asking questions to Pham makes me anxious.",1
Disconnected when my peers have already taken chemistry before and have dealt with the concepts prior to class. Connected when they are welcoming and kind to help me.,1
I feel most connected when the professor answers my question that I submitted online during the lectures.,1
"I feel the most connected when I actually understand the concept. Though I feel disconnected when I feel others understand the topic, but I don't.",1
Working in groups outside of class on problems.,1
I feel most connected when I am studying with my friends. I feel the most disconnected during online discussions.,1
I feel most connected in Chemistry learning spaces when I work with peers during discussion sections. I tend to feel the least connected when I do homework for the course outside of a space dedicated to the class.,1
"There's just so many people in the lecture and each time I sit in a different seat due to seats being taken so it's hard for me to form connections with those around me since I won't see them again next class probably. But, usually in the discussion sections, since it's smaller groups, I feel like it's easier for me to work with them.",1
Trying to figure out why exactly I am studying chemistry (I am not pre med),1
Most connected in study groups,1
Active discussion makes me feel connected.,1
More disconnected because our discussions are on zoom which make it more nerve-racking to ask questions when no one else is talking.,1
"Most ""connected"" when we are all struggling on a chem discussion sheet together. Sometimes ""disconnected"" during OH questions.",1
When we are in lecture and we are listening together and asking questions together (both during and before/after class).,1
I feel most connected when the discussion is about a topic that I am already familiar with.,1
"I feel most connected in office hours because it is a smaller group of students all asking questions, and I feel most disconnected in lecture because I am nervous about asking questions in front of a large group of people.",1
"I feel most ""connected"" when I'm in office hours or during lecture. However, it is hard to make space for yourself in office hours since it is so crowded.",1
"I am grateful for all the opportunities for support in this class, whether it is asking Dr. Lavelle questions after class, going to TA or UA hours, or consulting my peers.",1
"I feel connected when talking to classmates on our learning/understanding of concepts because there are times where we feel lost at the same time or where we understand at the same time. Sometimes I can feel disconnected when it comes to asking for help because I feel like it can be a ""dumb"" question.",1
"Discussions over Zoom are difficult to be a part of, and can actually hinder learning. Being able to interact with others in person and not under a time crunch helps with feeling connected to a community",1
I feel most connected when what Eric says in class clicks in my brain. I feel disconnected when the connections aren't clear for me from topic to topic just because of how quickly we move in class.,1
There is a lot of people so it can be difficult getting one-on-one help for specific concepts and problems which is difficult for me since I'm used to and succeed better in smaller learning environments.,1
"I feel most connected in Office Hours settings, during discussion section breakout rooms, and always during lecture. I feel disconnected occasionally with the Zoom version of the discussion section.",1
Connected when I know the content and disconnected when I don’t,1
"I feel most connected when in class and my questions are welcomed and when something clicks, I feel disconnected when I'm not understanding something and I feel lost on a question.",1
"I feel that I always feel connected, but I don't think that my topics are explained that well in lecture.",1
Most disconnected in chemistry learning spaces when I feel completely lost solving problems.,1
I feel disconnected in lecture but I also feel like zoom discussions make it hard to work with other people.,1
"I feel connected when the professor is able to answer my questions, or at his coffee chats, I feel included because I am able to talk to my professor. I feel disconnected when at times I need instant help, but sometimes the help cannot be instant, obviously.",1
Exams. I understand until I walk into the exam room and then it seems all the concepts leave my brain.,1
Connected- office hours. Disconnected- lectures,1
"Connected-Step up sessions/workshops
disconnected- discussion",1
"I feel most connected when I am working with other students because I feel comfortable not understanding things, and I feel most disconnected in lectures purely because of the lecture size.",1
"I feel most connected when collaborating in labs and study groups, and most disconnected during solo assessments.",1
"I feel most connected in Chemistry learning spaces when everyone is communicating, asking questions and building on each others' ideas.",1
I feel the most connected when studying with people.,1
I feel connected when I am collaborating with others,1
I feel most connected when going over concepts with other struggling students and learning it together.,1
..,1
I feel connected in Chemistry when I get to ask all the questions I get to such as in discussion questions or smaller groups,1
Most disconnected during difficult topics,1
"I have felt most connected in my TA discussion sections, and least connected in professor office hours.",1
"The only time that I feel a little disconnected is in lecture, but I think that this is inevitable with 300 students. All others spaces great and I feel connected.",1
Disconnected when I feel unprepared.,1
"I feel most connected amongst peers who are also struggling on the same course materials as me as it helps me admit my own lack of knowledge and work harder. Amongst others whos knowledge surpasses my own, I feel most disconnected.",1
During group work and I'm the one lost,1
studying with friends.,1
I feel most connected when the teacher makes an effort to show how the material in class can apply to the outside world.,1
During the online discussions. I don’t like that format and I feel like it discourages participation. I would prefer an in person discussion to build relationships and get more personable help from peers/TA.,1
"I feel most connected when I talk to fellow students at office hours or while working on a problem set.  The collaborative environment at UCLA in general has been great.  The only reason I said ""Slightly Agree"" for my feeling of support is I feel I have to hunt more to find these support systems compared to those from my peers or professor.",1
"It's harder in online discussions, but being able to talk to peers about problems, having them listen to my questions, and discussing allows me to feel the most connected. I feel most disconnected when I ask a question, but no one responds during the online discussions.",1
"I feel most disconnected when on zoom discussions, I work much better with people in person.",1
"Connected in discussions, disconnected in lectures because of the sheer amount of other students.",1
I feel like my TA (Emma Greene) definitely is there to help and has made me feel comfortable to ask questions and go to office hours.,1
"I feel most ""connected"" when I discuss chemistry concepts with my classmates; I feel least ""connected"" when there are some concepts I find hard to understand or absorb.",1
I feel least connected on the zoom lectures,1
I feel most disconnected with my classmates and most connected to the professor.,1
"If they're going in an extremely fast pace or talking about advanced topics, I do feel a bit disconnected. But as long as people are supportive and helpful, I feel connected.",1
I feel most connected in Chemistry learning spaces during discussion section because I am able to ask the TAs questions I have on the material and I feel comfortable in office hours and Peer Learning Sessions (AAP).,1
I sometimes do feel a disconnect with peers who seem much more knowledgeable or well-versed in chemistry as it just seems there is a knowledge gap between us.,1
I feel the most connected when I understand the concepts and the most disconnected when I get lost in the topics.,1
Connected in class Disconnected zoning out.,1
I feel most connected when I am fully understanding concepts and how to solve problems. I feel most disconnected when I do not understand concepts or how to solve problems and the instruction/classes continue to move forward while I am working to catch up. I also feel disconnected when the expectations for success in a course are unclear.,1
"I feel most ""connected"" in Chemistry learning spaces when we are doing group work, and I feel the most ""disconnected"" in Chemistry learning spaces when I do not understand certain complicated materials and I cannot figure out how to learn.",1
I feel most connected when I have peers to learn with and a study group I can lean on if I'm struggling with a concept.,1
I feel connected when I am with my fellow students whom I know are likely pursuing STEM related careers(not sure why someone would take 30b otherwie). I feel most disconnected when I feel my performance in the class is not good.,1
I feel most connected during office hours as many students can collaborate and work on problem sets together with the TA there as guidance.,1
I feel the most connected when I am around my lab mates and TA who are very helpful and caring.,1
I feel overall disconnected in this Chemistry course. I am currently in the process of looking for help since I am falling very behind in this course.,1
I feel connected when I am in a group and sharing my experience with the chemistry class.,1
I feel most connected in the chemistry learning spaces when I attend office hours. I love having the extra time and space to ask more questions to my TAs and professors that I can't during discussion and lecture. I feel most disconnected this quarter during discussion section since it happens online. I wish the 14 series could have them in-person.,1
I feel most connected during office hours with my TA,1
"I usually do not always necessarily feel ""connected"" to Chemistry as I am a Life Sciences double major (Physiological Science & Neuroscience), but the weekly quizzes reinforce what I have learnt in lecture and discussion which feels great! I feel ""disconnected"" when I am not able to grasp a concept as quickly as my peers.",1
I feel most disconnected when I feel as I am the only one behind or unknowledgeable about a topic.,1
I feel most disconnected when there are no real life examples or images or videos that show what we are learning. What I have seen so far is just words on a slide and that is very hard for me to grasp.,1
I feel most connected in discussions.,1
I feel pretty disconnected during discussion purely because of how difficult it is to connect over zoom and I feel somewhat connected during lecture,1
I feel bad asking my study partners for help continuously.,1
I feel most connected when I can do a chemistry problem on my own without looking at the notes.,1
Most connected in discussions.,1
Connected during TA office hours,1
I feel disconnected during the lectures because no one talks to each other. I feel connected when studying with other chemistry students.,1
I feel most connected when I talk to other students in my chemistry class. I feel most disconnected when I am unable to relate to my peers.,1
most disconnected when the professor makes us feel bad fo rnot knowing proper bakcground,1
"most disconnected in lecture and discussion (online), more connected in step up and workshop sessions",1
During Discussion Sections,1
most connected at office hours or other smaller group settings,1
I feel connected when I communicate with peers and staff,1
I feel most connected when the problem sets are explained and walked through. I feel disconnected when we aren’t being walked through the question and are simply given the answer.,1
Discussions,1
"I feel most connected when I am able to ask questions and study with others, because I feel more involved with the course. I am disconnected when I am lost and unable to find a way to understand the curriculum.",1
I feel most connected when I am sitting near the front of the lecture hall and when I am in office hours and my professor wants to know my name and get to know me.,1
I feel most connected in discussion sections when working one on one with other students.,1
I feel most connected when working with my peers outside of class on the homework. We work together to figure out something we're confused about.,1
"I have not made any friends in the class, so I don't have anyone to study with. I also get too anxious to ask questions during lecture.",1
I feel like the discussions being on zoom makes me feel really disconnected from everyone in my Chemistry course.,1
"I feel like my teacher is amazing. I have not talked much with my peers, but I do not wish to.",1
I feel most disconnected when the lecture or discussion topics don’t make sense but it seems to make sense for others.,1
"I feel most connected in Chemistry learning spaces during office hours and discussion, but when discussions were in person.",1
"I tend to feel more connected and engaged in smaller settings such as office hours or discussion groups, whereas I often feel less connected during lectures.",1
when material is hard and everyone else understadns,1
Most connected when everybody is checked up on and is given a chance to contribute and ask questions. Most disconnected when things are gone/whizzed through without even asking if anyone needs help or has questions.,1
Whenever I put my all into studying for these chem classes and my grade doesn’t reflect that of feel disconnected. I guess I feel connected when I’m in Plf and get to ask questions.,1
"I feel most connected when I collaborate with others and recieve help in office hours. I feel most disconnected in this lecture, as it seems too fast paced and isn't record which isn't as encouraging.",1
I feel connected when I am solving questions or understanding experiments with others.,1
I feel connected when people actually understand what I'm trying to ask about and value when a certain subject is more challenging than others. I feel disconnected when people try to make anyone (including and not including myself) feel less than for being confused on a topic they know well.,1
"I feel most connected in Chemistry learning spaces when I'm grasping a concept well and find it exciting; however, I feel disconnected when I'm struggling to understand a topic because I don't feel motivated to circle back in.",1
"I feel most connected during the discussion sections when I'm able to ask the TA questions one on one. I feel most disconnected during the lectures since they can sometimes be hard to follow,",1
"I feel connected when I understand the concepts, but disconnected when everyone else understands and I remain confused.",1
"I feel the most disconnected when I cannot understand the material in lecture that others seem to understand and actively discuss. I feel the most connected in step-up sessions, where others have similar questions as me and TAs/UAs can answer them.",1
"I feel most disconnected in Chemistry during lectures due to its quick pace, and I feel most connected with reviewing.",1
"Disconnected in the teaching, large class room, lectures. As well as in the studying and post lab for this class",1
I feel the most connected in class and the most disconnected in the discussion sections.,1
"I feel connected with my peers participating in the PFL space for this class. I feel disconnected during lecture, I do not have many connections with others during class.",1
I feel most connected when having one on one conversations with others and disconnected when things move too fast,1
"I feel disconnected initially when I see the big size of the lecture halls or when I'm struggling to find posts without responses in Chemistry Community, but going to smaller meetings like office hours, step-up sessions and discussions makes me feel more connected.",1
I feel most connected in small study groups where I can collaborate with others.,1
"I feel most connected during office hours interacting personally with the professor, or during discussions with peers where I’m able to understand and explain concepts.",1
I feel most connected in discussion and least connected during lecture,1
I feel most disconnected in class and when I am studying by myself. I have no friends to study with and I feel like I lack the ability to make them.,1
Talking to people,1
I feel most connected during discussion sections and most disconnected when I am studying for exams.,1
In discussions and also when studying with other friends in the course I am in.,1
About connecting with other people in my class and asking more questions.,1
I feel most connected when I am awake and aware of what I am doing while studying chemistry.,1
I feel disconnected from many people in my class because I'm only either in the large lecture space or an online discussion which makes it very hard to meet people in my classes.,1
office hours i feel most connected,1
I feel most connected during iClickers. I feel most disconnected during discussion sections.,1
I feel most connected when my instructors are open for conversation about the material and approach it in a considerate way. I feel disconnected when professors don't interact or integrate the course material into their teaching.,1
Connected when I work with people I know. Disconnected when there is no group work in labs.,1
I almost never feel disconnected,1
I feel most connected when I see that Professor Wu is actually taking time to answer questions and provides plenty of outside time to get to know him. I feel most disconnected during lecture since there's just so many other people.,1
"I feel disconnected when I see that other students are more prepared than me, and have better background knowledge.",1
I feel most connected when the teacher is very willing to help during OHs,1
Disconnected during class at times and connected somewhat during discussion,1
I feel very disconnected in this course because there is not really support. Having discussion on zoom is very detrimental to the helpfulness and there is no real connection with any of the course instructors/tas,1
I think I feel scared to ask questions and it’s very cutthroat.,1
I feel most connected in smaller settings where it's interactive with my peers and instructors. I tend to get lost when I don't know the person I'm working with or in a large group setting.,1
findding people to study with,1
in lab,1
Disconnected in discussions I feel like people tend to take over and do the work for others. there is not much space for collaboration even if it should be.,1
I feel most connected during office hours because everyone is there to ask questions and no questions feels discouraged. I feel the most disconnected during discussions and lectures when people seem to understand everything so quickly.,1
I feel the most connected when I see someone struggling on the same topic as me and we help each other understand.,1
"I think this quarter is good, but the online discussion is disconnecting, and in previous courses I have felt talked at, not talked to. However, this course I like the. cooperation.",1
I feel disconnected in group practice during chemistry lectures because it takes me more time to digest information from lecture so I struggle answering practice problems in the moment. It's also makes it difficult to contribute when speaking with peers next to me since I feel lost and cannot add to their conversation.,1
When I'm getting 1-1 help.,1
"I feel the most connected during discussion sections. However, I wish they were in person.",1
Hard to meet and befriend people during lecture,1
I feel most connected inside the classroom and most disconnected when I am struggling on problem sets or studying alone.,1
I feel most connected during smaller collaborative learning spaces such as during discussion. I feel most disconnected trying to study at home on my own.,1
"I feel the most ""disconnected"" in our online discussions as it is hard to interact.",1
I feel disconnected in my chemistry class when my professor ignores my requests for help.,1
"I feel most connected when I have other students to work with, but I start to feel disconnected when I try to form a study group and everyone ends up doing their own thing.",1
Generally I don't,1
